train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.7	1.0	0.8	0.17669	0.60344625	0.40824829	3.0	2.0	1.0	4.0	1.13703346	2.0	0.0	1.0
1.0	0.8	1.0	0.76	0.17220527	0.6209203	0.65465367	3.0	2.0	0.0	5.0	2.12109637	2.0	1.0	1.0
1.0	0.8	1.0	0.92	0.18144757	0.51092671	0.65465367	3.0	2.0	0.0	5.0	3.08070183	2.0	2.0	1.0
1.0	0.9	1.0	1.0	0.17948906	0.5034089	0.81649658	4.0	0.0	1.0	5.0	3.86671543	2.0	3.0	1.0
1.0	0.6	1.0	0.79166667	0.1699623	0.61531786	0.16666667	2.0	2.0	2.0	4.0	4.59996033	2.0	4.0	1.0
1.0	0.8	1.0	0.91666667	0.17866016	0.50308813	0.58333333	3.0	1.0	1.0	5.0	5.36700845	2.0	5.0	1.0
1.0	0.55555556	1.0	0.85	0.17908133	0.5676573	0.05976143	1.0	3.0	1.0	4.0	6.11034393	2.0	6.0	1.0
1.0	1.0	1.0	1.0	0.18262928	0.47475588	1.0	4.0	0.0	0.0	5.0	6.87555575	2.0	7.0	1.0
1.0	0.33333333	1.0	0.3	0.1678632	0.8325568	-0.35	1.0	3.0	3.0	2.0	7.64623833	2.0	8.0	1.0
1.0	0.55555556	1.0	0.5	0.16783814	0.71802219	0.1	2.0	2.0	2.0	3.0	8.36694121	2.0	9.0	1.0
