train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.7	1.0	0.76	0.18422653	0.62894345	0.5	2.0	3.0	0.0	5.0	2.15047264	2.0	0.0	1.0
1.0	0.8	1.0	0.8	0.18429866	0.59112555	0.65465367	3.0	2.0	0.0	5.0	4.09868526	2.0	1.0	1.0
1.0	0.8	1.0	0.88	0.187611	0.53826514	0.65465367	3.0	2.0	0.0	5.0	6.01597834	2.0	2.0	1.0
1.0	0.7	1.0	0.91666667	0.18950155	0.55997395	0.40824829	3.0	1.0	2.0	4.0	7.98099422	2.0	3.0	1.0
1.0	0.6	1.0	0.79166667	0.1850232	0.61275878	0.25	3.0	1.0	3.0	3.0	9.91531754	2.0	4.0	1.0
1.0	0.9	1.0	0.875	0.18709079	0.56455735	0.80178373	3.0	1.0	0.0	6.0	11.95057368	2.0	5.0	1.0
1.0	0.55555556	1.0	0.8	0.18485763	0.61802407	0.05976143	1.0	3.0	1.0	4.0	13.39639688	2.0	6.0	1.0
1.0	1.0	1.0	1.0	0.18377825	0.45104011	1.0	4.0	0.0	0.0	5.0	15.45577335	2.0	7.0	1.0
1.0	0.33333333	1.0	0.2	0.17492138	0.92435992	-0.35	1.0	3.0	3.0	2.0	17.33876467	2.0	8.0	1.0
1.0	0.55555556	1.0	0.45	0.17337339	0.76229735	0.1	2.0	2.0	2.0	3.0	19.3285377	2.0	9.0	1.0
