Feature,Value,Contribution
246,0.0,-0.06280676911733052
199,0.0,-0.04789756190691308
241,0.0,-0.02253435699735439
109,0.0654784934521507,-0.02113365278223173
184,0.0,-0.020500742697370195
224,0.0,-0.019221961432098707
196,0.0,-0.016333670822270902
63,0.0,-0.015573487287133878
110,0.0641173935882606,-0.014431121868562057
223,0.0,-0.014399695555578608
38,0.0,-0.013235855579523038
364,0.0,-0.01304052708790325
347,0.0,0.01297463002536409
339,0.00269849973015,-0.011793392747562682
96,0.0,0.01176664496705067
31,0.0,-0.011730754617317173
126,0.0,-0.011256066864234388
280,0.00015919998408,-0.011152131768370882
308,0.0,0.010927752165962416
108,0.0006169999383,-0.010595381378495415
192,0.0,-0.010405233663567603
245,0.0,0.010044393769778785
288,0.00266629973337,-0.009758983315818317
300,0.0,-0.009632398215379555
42,0.0,-0.0095364100318244
173,2.19999978000002e-05,0.009451570284265824
100,0.0,-0.009433736841393772
32,0.0,-0.00916728869006257
117,0.0,-0.009124387277211881
112,0.0096582990341701,-0.009026148382712684
58,0.0149839985016001,0.009024747689348342
83,0.0,-0.008891111120334711
328,0.0,0.008577151318369194
99,0.0,-0.008547511914598694
317,0.0,0.008428994169494634
107,0.00594989940501,-0.008131513478233364
335,0.0,-0.008039397221584277
24,0.0,0.007586125887446873
60,0.00597149940285,-0.00750065058228256
54,0.0,-0.007471605973472472
233,0.00066779993322,0.0073501031028165055
43,0.0,0.007322409865712483
210,0.0,-0.007156193476763063
334,0.0,0.006955564399097515
194,0.00097669990233,-0.00691558872789827
289,0.0270406972959303,0.006688420922566904
195,1.00999989900001e-05,0.00592760402476782
355,0.0,-0.005904285520290986
244,0.00618959938104,-0.00588079083491503
181,0.0,-0.0035941354156224497
