Feature,Value,Contribution
302,6.57E-05,-2.62E-05
253,6.33E-05,-0.001597674
92,6.11E-05,-0.001744909
8,6.10E-05,0.000417046
305,5.83E-05,0.000779787
173,5.75E-05,-0.003937539
10,5.64E-05,-0.000463662
315,5.60E-05,-0.000629691
324,5.33E-05,-0.000326054
153,5.15E-05,-0.001029998
22,5.07E-05,-0.002367575
357,4.75E-05,-0.00044058
172,4.71E-05,-0.001386059
194,4.48E-05,0.00299485
322,4.37E-05,0.000177147
45,4.36E-05,-0.000305569
331,4.32E-05,-0.001961559
369,4.16E-05,0.00125788
207,4.00E-05,-0.000415776
362,3.97E-05,0.000356331
260,3.94E-05,-5.25E-05
121,3.91E-05,5.96E-05
360,3.63E-05,-0.000360786
188,3.37E-05,-0.001104563
317,3.35E-05,-6.53E-05
5,3.25E-05,0.002185274
136,3.20E-05,-0.000404248
75,3.01E-05,-0.000114406
266,2.75E-05,0.001102325
226,2.71E-05,0.000307185
350,2.62E-05,0.003995525
20,2.50E-05,-0.003822021
177,2.47E-05,-0.002595045
354,2.35E-05,-0.000480657
299,2.34E-05,0.001902428
359,2.27E-05,0.000551835
30,2.24E-05,0.002084803
149,2.22E-05,0.00152091
179,2.19E-05,0.000193333
167,2.16E-05,-0.001661904
189,2.16E-05,0.001879681
262,2.13E-05,-0.000428546
304,1.90E-05,0.000328294
191,1.88E-05,-0.001081803
203,1.76E-05,-0.00098215
133,1.75E-05,-0.001010748
316,1.73E-05,-0.000512632
165,1.63E-05,0.00017879
309,1.61E-05,0.002436206
367,1.61E-05,0.000267177
221,1.60E-05,-0.000899892
206,1.57E-05,0.000883712
356,1.48E-05,-0.000248588
197,1.47E-05,0.001508946
25,1.47E-05,-0.002369622
183,1.42E-05,-0.000460515
312,1.40E-05,-0.000945429
379,1.38E-05,0.001434238
373,1.23E-05,2.89E-05
3,1.23E-05,0.001904591
116,1.21E-05,-0.000100229
36,1.20E-05,0.000290636
230,1.20E-05,-0.002060697
83,1.06E-05,0.000795005
380,9.52E-06,0.000438093
238,9.35E-06,-5.75E-06
180,8.54E-06,1.17E-05
127,8.52E-06,0.000130346
163,7.72E-06,0.000340161
363,7.49E-06,-0.00070817
342,7.24E-06,0.00036908
101,7.19E-06,0.000610201
12,6.98E-06,-0.004934151
370,6.63E-06,-0.000411837
43,6.29E-06,0.000284183
176,5.87E-06,-0.001061354
216,5.65E-06,-0.000115298
140,5.63E-06,-6.77E-05
168,5.53E-06,5.41E-05
4,4.98E-06,-0.000713422
35,4.88E-06,-0.000147304
336,4.80E-06,-0.001973707
14,4.78E-06,-0.002034304
378,4.50E-06,0.000541115
236,4.44E-06,-4.42E-05
16,4.41E-06,0.001391761
265,4.33E-06,0.000280521
