train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.5	1.0	0.76	0.17581332	0.60572766	0.0	1.0	4.0	1.0	4.0	1.36363482	2.0	0.0	1.0
1.0	0.7	1.0	0.8	0.17437194	0.62589378	0.5	2.0	3.0	0.0	5.0	2.8496294	2.0	1.0	1.0
1.0	0.8	1.0	0.88	0.1811566	0.53628197	0.65465367	3.0	2.0	0.0	5.0	4.57056618	2.0	2.0	1.0
1.0	0.9	1.0	1.0	0.18319026	0.50363748	0.81649658	4.0	0.0	1.0	5.0	6.01561499	2.0	3.0	1.0
1.0	0.7	1.0	0.79166667	0.17776382	0.58972887	0.35634832	2.0	2.0	1.0	5.0	7.6154449	2.0	4.0	1.0
1.0	0.9	1.0	1.0	0.18324977	0.50575496	0.80178373	3.0	1.0	0.0	6.0	9.24891472	2.0	5.0	1.0
1.0	0.66666667	1.0	0.85	0.18003102	0.57988733	0.31622777	2.0	2.0	1.0	4.0	10.79930592	2.0	6.0	1.0
1.0	0.88888889	1.0	0.95	0.17945091	0.4716843	0.8	4.0	0.0	1.0	4.0	13.87074637	2.0	7.0	1.0
1.0	0.33333333	1.0	0.3	0.17008547	0.85852729	-0.35	1.0	3.0	3.0	2.0	16.24447703	2.0	8.0	1.0
1.0	0.55555556	1.0	0.5	0.16867484	0.73658762	0.05976143	1.0	3.0	1.0	4.0	18.37083435	2.0	9.0	1.0
