train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.6	1.0	0.74	0.1812964	0.6218892	0.33333333	1.0	4.0	0.0	5.0	0.91614008	2.0	0.0	1.0
1.0	0.8	1.0	0.8	0.18151466	0.59297447	0.65465367	3.0	2.0	0.0	5.0	1.65990472	2.0	1.0	1.0
1.0	0.7	1.0	0.88	0.1841906	0.55849393	0.5	2.0	3.0	0.0	5.0	2.50571203	2.0	2.0	1.0
1.0	0.9	1.0	1.0	0.18768431	0.48951671	0.81649658	4.0	0.0	1.0	5.0	4.20577168	2.0	3.0	1.0
1.0	0.8	1.0	0.83333333	0.18122554	0.61738894	0.66666667	4.0	0.0	2.0	4.0	6.21503282	2.0	4.0	1.0
1.0	0.9	1.0	0.875	0.18997682	0.54726264	0.80178373	3.0	1.0	0.0	6.0	8.02026582	2.0	5.0	1.0
1.0	0.55555556	1.0	0.85	0.18467991	0.59137253	0.05976143	1.0	3.0	1.0	4.0	9.97777462	2.0	6.0	1.0
1.0	1.0	1.0	1.0	0.18593099	0.47487101	1.0	4.0	0.0	0.0	5.0	12.20498657	2.0	7.0	1.0
1.0	0.33333333	1.0	0.2	0.17280174	0.95343712	-0.35	1.0	3.0	3.0	2.0	13.99128222	2.0	8.0	1.0
1.0	0.66666667	1.0	0.4	0.17247857	0.75397478	0.31622777	2.0	2.0	1.0	4.0	15.90036345	2.0	9.0	1.0
