train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.6	1.0	0.68	0.18007136	0.60981246	0.21821789	2.0	3.0	1.0	4.0	0.87126946	2.0	0.0	1.0
1.0	0.7	1.0	0.8	0.18001599	0.62292289	0.5	2.0	3.0	0.0	5.0	1.66551065	2.0	1.0	1.0
1.0	0.7	1.0	0.92	0.1848795	0.54550356	0.5	2.0	3.0	0.0	5.0	2.39023352	2.0	2.0	1.0
1.0	0.9	1.0	1.0	0.18687637	0.49148248	0.81649658	4.0	0.0	1.0	5.0	3.23095775	2.0	3.0	1.0
1.0	0.7	1.0	0.79166667	0.18279927	0.64140578	0.53452248	4.0	0.0	3.0	3.0	3.981987	2.0	4.0	1.0
1.0	0.9	1.0	0.91666667	0.18008845	0.52793951	0.80178373	3.0	1.0	0.0	6.0	5.43387961	2.0	5.0	1.0
1.0	0.55555556	1.0	0.85	0.17992874	0.5614816	0.05976143	1.0	3.0	1.0	4.0	7.28508306	2.0	6.0	1.0
1.0	1.0	1.0	1.0	0.18507975	0.4688638	1.0	4.0	0.0	0.0	5.0	9.21526408	2.0	7.0	1.0
1.0	0.44444444	1.0	0.35	0.17015989	0.85980707	-0.15811388	1.0	3.0	2.0	3.0	11.1980176	2.0	8.0	1.0
1.0	0.44444444	1.0	0.4	0.17237011	0.79008721	-0.1	2.0	2.0	3.0	2.0	13.23390198	2.0	9.0	1.0
