train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.7	1.0	0.6	0.19968073	0.82826784	0.40824829	3.0	2.0	1.0	4.0	0.75869083	2.0	0.0	1.0
1.0	0.7	1.0	0.76	0.20519848	0.57153289	0.40824829	4.0	1.0	2.0	3.0	1.6806531	2.0	1.0	1.0
1.0	0.6	1.0	0.56	0.19492493	0.73448842	0.33333333	1.0	4.0	0.0	5.0	4.36696196	2.0	2.0	1.0
1.0	0.7	1.0	0.79166667	0.20705733	0.57559329	0.35634832	2.0	2.0	1.0	5.0	5.58973575	2.0	3.0	1.0
1.0	0.5	1.0	0.45833333	0.19609303	0.77811874	0.0	2.0	2.0	3.0	3.0	6.69517016	2.0	4.0	1.0
1.0	0.6	1.0	0.875	0.20949269	0.57353278	0.25	3.0	1.0	3.0	3.0	7.72338414	2.0	5.0	1.0
1.0	0.44444444	1.0	0.25	0.20044045	0.79125328	-0.15811388	1.0	3.0	2.0	3.0	9.09540319	2.0	6.0	1.0
1.0	0.55555556	1.0	0.7	0.20398017	0.64262342	0.1	2.0	2.0	2.0	3.0	9.91252184	2.0	7.0	1.0
1.0	0.22222222	1.0	0.05	0.18963092	0.97336971	-0.55	1.0	3.0	4.0	1.0	10.69824266	2.0	8.0	1.0
1.0	0.55555556	1.0	0.65	0.2016565	0.71040772	0.1	2.0	2.0	2.0	3.0	11.42536592	2.0	9.0	1.0
