train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.6	1.0	0.8	0.1785554	0.62806932	0.2	3.0	2.0	2.0	3.0	0.77986383	2.0	0.0	1.0
1.0	0.7	1.0	0.8	0.17923419	0.59444441	0.40824829	3.0	2.0	1.0	4.0	1.51518011	2.0	1.0	1.0
1.0	0.8	1.0	0.96	0.18805583	0.52284356	0.65465367	3.0	2.0	0.0	5.0	2.25712395	2.0	2.0	1.0
1.0	0.9	1.0	1.0	0.18463938	0.53291581	0.80178373	3.0	1.0	0.0	6.0	3.21158385	2.0	3.0	1.0
1.0	0.7	1.0	0.625	0.1775152	0.68605266	0.40824829	3.0	1.0	2.0	4.0	4.5089066	2.0	4.0	1.0
1.0	0.7	1.0	0.83333333	0.18286826	0.56471143	0.40824829	3.0	1.0	2.0	4.0	6.00715232	2.0	5.0	1.0
1.0	0.88888889	1.0	0.85	0.18278001	0.54774235	0.8	4.0	0.0	1.0	4.0	7.24630904	2.0	6.0	1.0
1.0	1.0	1.0	1.0	0.18266325	0.51668053	1.0	4.0	0.0	0.0	5.0	8.30946279	2.0	7.0	1.0
1.0	0.44444444	1.0	0.35	0.17091412	0.77425232	-0.15811388	1.0	3.0	2.0	3.0	9.28873634	2.0	8.0	1.0
1.0	0.66666667	1.0	0.65	0.17596247	0.63522774	0.31622777	2.0	2.0	1.0	4.0	10.17823029	2.0	9.0	1.0
